"ISO3_country","Country_name_short","Country_name"
"AGO","Angola","Angola"
"ALB","Albania","Albania"
"ARE","United Arab Emirates ","United Arab Emirates (the)"
"ARG","Argentina","Argentina"
"ATG","Antigua & Barbuda","Antigua and Barbuda"
"AUS","Australia","Australia"
"AZE","Azerbaijan","Azerbaijan"
"BEL","Belgium","Belgium"
"BEN","Benin","Benin"
"BGD","Bangladesh","Bangladesh"
"BGR","Bulgaria","Bulgaria"
"BHR","Bahrain","Bahrain"
"BHS","Bahamas ","Bahamas (the)"
"BLZ","Belize","Belize"
"BRA","Brazil","Brazil"
"BRB","Barbados","Barbados"
"BRN","Brunei Darussalam","Brunei Darussalam"
"CAN","Canada","Canada"
"CHL","Chile","Chile"
"CHN","China","China"
"CIV","Côte d'Ivoire","Côte d'Ivoire"
"CMR","Cameroon","Cameroon"
"COD","Dem Rep of Congo ","Democratic Republic of the Congo (the)"
"COG","Congo ","Congo (the)"
"COL","Colombia","Colombia"
"CPV","Cabo Verde","Cabo Verde"
"CRI","Costa Rica","Costa Rica"
"CUB","Cuba","Cuba"
"CYP","Cyprus","Cyprus"
"DEU","Germany","Germany"
"DJI","Djibouti","Djibouti"
"DMA","Dominica","Dominica"
"DNK","Denmark","Denmark"
"DOM","Dominican Rep ","Dominican Republic (the)"
"DZA","Algeria","Algeria"
"ECU","Ecuador","Ecuador"
"EGY","Egypt","Egypt"
"ERI","Eritrea","Eritrea"
"ESP","Spain","Spain"
"EST","Estonia","Estonia"
"FIN","Finland","Finland"
"FJI","Fiji","Fiji"
"FRA","France","France"
"FSM","Fed. States of Micronesia ","Federated States of Micronesia (the)"
"GAB","Gabon","Gabon"
"GBR","United Kingdom ","United Kingdom of Great Britain and Northern Ireland (the)"
"GEO","Georgia","Georgia"
"GHA","Ghana","Ghana"
"GIN","Guinea","Guinea"
"GMB","Gambia ","Gambia (the)"
"GNB","Guinea-Bissau","Guinea-Bissau"
"GNQ","Equatorial Guinea","Equatorial Guinea"
"GRC","Greece","Greece"
"GRD","Grenada","Grenada"
"GTM","Guatemala","Guatemala"
"GUY","Guyana","Guyana"
"HND","Honduras","Honduras"
"HRV","Croatia","Croatia"
"HTI","Haiti","Haiti"
"IDN","Indonesia","Indonesia"
"IND","India","India"
"IRL","Ireland","Ireland"
"IRN","Islamic Rep of Iran ","Islamic Republic of Iran (the)"
"IRQ","Iraq","Iraq"
"ISL","Iceland","Iceland"
"ISR","Israel","Israel"
"ITA","Italy","Italy"
"JAM","Jamaica","Jamaica"
"JOR","Jordan","Jordan"
"JPN","Japan","Japan"
"KAZ","Kazakhstan","Kazakhstan"
"KEN","Kenya","Kenya"
"KHM","Cambodia","Cambodia"
"KIR","Kiribati","Kiribati"
"KNA","St Kitts & Nevis","Saint Kitts and Nevis"
"KOR","Rep of Korea ","Republic of Korea (the)"
"KWT","Kuwait","Kuwait"
"LBN","Lebanon","Lebanon"
"LBR","Liberia","Liberia"
"LBY","Libya","Libya"
"LCA","St Lucia","Saint Lucia"
"LKA","Sri Lanka","Sri Lanka"
"LTU","Lithuania","Lithuania"
"LVA","Latvia","Latvia"
"MAR","Morocco","Morocco"
"MDG","Madagascar","Madagascar"
"MDV","Maldives","Maldives"
"MEX","Mexico","Mexico"
"MHL","Marshall Isl ","Marshall Islands (the)"
"MLT","Malta","Malta"
"MMR","Myanmar","Myanmar"
"MNE","Montenegro","Montenegro"
"MOZ","Mozambique","Mozambique"
"MRT","Mauritania","Mauritania"
"MUS","Mauritius","Mauritius"
"MYS","Malaysia","Malaysia"
"NAM","Namibia","Namibia"
"NGA","Nigeria","Nigeria"
"NIC","Nicaragua","Nicaragua"
"NLD","Netherlands ","Kingdom of the Netherlands (the)"
"NOR","Norway","Norway"
"NRU","Nauru","Nauru"
"NZL","New Zealand","New Zealand"
"OMN","Oman","Oman"
"PAK","Pakistan","Pakistan"
"PAN","Panama","Panama"
"PER","Peru","Peru"
"PHL","Philippines ","Philippines (the)"
"PLW","Palau","Palau"
"PNG","Papua New Guinea","Papua New Guinea"
"POL","Poland","Poland"
"PRK","Dem People's Rep of Korea ","Democratic People's Republic of Korea (the)"
"PRT","Portugal","Portugal"
"QAT","Qatar","Qatar"
"ROU","Romania","Romania"
"RUS","Russia ","Russian Federation (the)"
"SAU","Saudi Arabia","Saudi Arabia"
"SDN","Sudan ","Sudan (the)"
"SEN","Senegal","Senegal"
"SLB","Solomon Isl","Solomon Islands"
"SLE","Sierra Leone","Sierra Leone"
"SLV","El Salvador","El Salvador"
"SOM","Somalia","Somalia"
"STP","Sao Tome & Principe","Sao Tome and Principe"
"SUR","Suriname","Suriname"
"SWE","Sweden","Sweden"
"SYC","Seychelles","Seychelles"
"SYR","Syrian Arab Rep ","Syrian Arab Republic (the)"
"TGO","Togo","Togo"
"THA","Thailand","Thailand"
"TKM","Turkmenistan","Turkmenistan"
"TLS","Timor-Leste","Timor-Leste"
"TON","Tonga","Tonga"
"TTO","Trinidad & Tobago","Trinidad and Tobago"
"TUN","Tunisia","Tunisia"
"TUR","Türkiye","Türkiye"
"TUV","Tuvalu","Tuvalu"
"TZA","Tanzania ","United Republic of Tanzania (the)"
"URY","Uruguay","Uruguay"
"USA","United States of America ","United States of America (the)"
"VCT","St Vincent & the Grenadines","Saint Vincent and the Grenadines"
"VEN","Bolivarian Rep of Venezuela ","Bolivarian Republic of Venezuela (the)"
"VNM","Viet Nam","Viet Nam"
"VUT","Vanuatu","Vanuatu"
"WSM","Samoa","Samoa"
"YEM","Yemen","Yemen"
"ZAF","S Africa","South Africa"
