continent,country_territory,admin_name,notes
Africa,Algeria,Algeria,
Africa,Angola,Angola,
Africa,Ascension,the United Kingdom of Great Britain and Northern Ireland,
Africa,Bassas da India,France,
Africa,Benin,Benin,
Africa,Bouvet Island,Norway,
Africa,Cabo Verde,Cabo Verde,
Africa,Cameroon,Cameroon,
Africa,Comoros,Comoros,
Africa,Congo,Congo,
Africa,Côte d'Ivoire,Côte d'Ivoire,
Africa,Democratic Republic of the Congo,Democratic Republic of the Congo,
Africa,Djibouti,Djibouti,
Africa,Egypt,Egypt,
Africa,Equatorial Guinea,Equatorial Guinea,
Africa,Eritrea,Eritrea,
Africa,Gabon,Gabon,
Africa,Gambia,Gambia,
Africa,Ghana,Ghana,
Africa,Guinea,Guinea,
Africa,Guinea-Bissau,Guinea-Bissau,
Africa,Juan de Nova Island,NA,"disputed (France, Madagascar)"
Africa,Kenya,Kenya,
Africa,Kerguelen Islands,France,
Africa,Liberia,Liberia,
Africa,Libya,Libya,
Africa,Madagascar,Madagascar,
Africa,Mauritania,Mauritania,
Africa,Mauritius,Mauritius,
Africa,Morocco,Morocco,
Africa,Mozambique,Mozambique,
Africa,Namibia,Namibia,
Africa,Nigeria,Nigeria,
Africa,Prince Edward Island,South Africa,
Africa,Réunion,France,
Africa,Saint Helena,the United Kingdom of Great Britain and Northern Ireland,
Africa,Sao Tome and Principe,Sao Tome and Principe,
Africa,Senegal,Senegal,
Africa,Seychelles,Seychelles,
Africa,Sierra Leone,Sierra Leone,
Africa,Somalia,Somalia,
Africa,South Africa,South Africa,
Africa,Sudan,Sudan,
Africa,Togo,Togo,
Africa,Tristan da Cunha,the United Kingdom of Great Britain and Northern Ireland,
Africa,Tunisia,Tunisia,
Africa,United Republic of Tanzania,United Republic of Tanzania,
Americas,Anguilla,the United Kingdom of Great Britain and Northern Ireland,
Americas,Antigua and Barbuda,Antigua and Barbuda,
Americas,Argentina,Argentina,
Americas,Aruba,Netherlands (Kingdom of the),
Americas,Bahamas,Bahamas,
Americas,Barbados,Barbados,
Americas,Belize,Belize,
Americas,Bermuda,the United Kingdom of Great Britain and Northern Ireland,
Americas,Bonaire,Netherlands (Kingdom of the),
Americas,Brazil,Brazil,
Americas,Brazil (Trindade),Brazil,
Americas,British Virgin Islands,the United Kingdom of Great Britain and Northern Ireland,
Americas,Canada,Canada,
Americas,Cayman Islands,the United Kingdom of Great Britain and Northern Ireland,
Americas,Chile,Chile,
Americas,Chile (Easter Island),Chile,
Americas,Chile (San Felix and San Ambrosio islands),Chile,
Americas,Colombia,Colombia,
Americas,Colombia (Serrana),Colombia,
Americas,Costa Rica,Costa Rica,
Americas,Cuba,Cuba,
Americas,Curaçao,Netherlands (Kingdom of the),
Americas,Dominica,Dominica,
